batchId,withdrawId,user,usdtAmount,ethAmount,proof
2,3,0x6Cd9b04f4103E8Ee48AD05E9D9f1CcD94599d941,830372,79178689634490,"["0x8b9a65776d00cc8ceb447cc53afec354419fb3a56861629d098563d6edbca748"]"
2,4,0x6Cd9b04f4103E8Ee48AD05E9D9f1CcD94599d941,9134096,870965585979396,"["0x7fdfd03f9ee1ee7724e2d34807f964f28e0a837d4f464706cbccfd3960fcb5a1"]"
